ISBN;Book-Title;Book-Author;Year-Of-Publication;Publisher;Genre Principal;Genres Secondaires;Image-URL-L;Moyenne_Adolescent 12-17;Moyenne_Adulte 26-35;Moyenne_Adulte 36-50;Moyenne_Enfant 1-12;Moyenne_Jeune adulte 18-25;Moyenne_Senior 50+
0060175648;Identity;Milan Kundera;1998-01-01;Harpercollins;Fiction;Novels, European Literature, Czech Literature, Literature, Philosophy, Contemporary, Cultural, France, Classics, Literary Fiction, Literature, 20th Century;http://images.amazon.com/images/P/0060175648.01.LZZZZZZZ.jpg;;10.0;;;;
0060192305;There's a Spiritual Solution to Every Problem;Wayne W. Dyer;2001-01-01;HarperCollins;Spirituality;Self Help, Nonfiction, Philosophy, Psychology, Inspirational, Self Help, Personal Development, Audiobook, Religion, Spirituality, New Age;http://images.amazon.com/images/P/0060192305.01.LZZZZZZZ.jpg;;;8.0;;;
006019250X;The Illustrated Alchemist: A Fable About Following Your Dream;Paulo Coelho;1998-01-01;HarperCollins Publishers;Fiction;Classics, Fantasy, Philosophy, Novels, Spirituality, Self Help, Literature, Adventure, Inspirational;http://images.amazon.com/images/P/006019250X.01.LZZZZZZZ.jpg;;;;;;9.0
0060193395;Body for Life: 12 Weeks to Mental and Physical Strength;Bill Phillips;1999-01-01;HarperCollins;Health;Nonfiction, Sports, Fitness, Self Help, Sports, Sports, Reference, Food and Drink, Diets, Health, Nutrition, Food and Drink, Food, Self Help, Personal Development;http://images.amazon.com/images/P/0060193395.01.LZZZZZZZ.jpg;;9.0;7.0;;;7.0
006019491X;Daughter of Fortune : A Novel (Oprah's Book Club (Hardcover));Isabel Allende;1999-01-01;HarperCollins;Historical;Historical Fiction, Fiction, Historical, Romance, Magical Realism, Novels, Literature, Adult, Adult Fiction, European Literature, Spanish Literature;http://images.amazon.com/images/P/006019491X.01.LZZZZZZZ.jpg;;8.9;7.875;;8.0;7.916666666666667
006024416X;Betsy-Tacy and Tib;Maud Hart Lovelace;1994-01-01;HarperCollins;Childrens;Fiction, Classics, Historical, Historical Fiction, Childrens, Middle Grade, Childrens, Juvenile, Young Adult, Historical, Childrens, Childrens Classics, Literature, American;http://images.amazon.com/images/P/006024416X.01.LZZZZZZZ.jpg;;;10.0;;;
0060245603;Today I Feel Silly: And Other Moods That Make My Day;Jamie Lee Curtis;1998-01-01;Joanna Cotler;Childrens;Picture Books, Childrens, Psychology, Emotion, Fiction, Poetry, Family, Realistic Fiction, Humor, Childrens, Storytime, Contemporary;http://images.amazon.com/images/P/0060245603.01.LZZZZZZZ.jpg;;7.0;;;;
0060248122;The Mrs. Piggle-Wiggle Treasury;Betty Bard MacDonald;1995-01-01;Harpercollins Juvenile Books;Childrens;Fiction, Fantasy, Short Stories, Childrens, Juvenile, Childrens, Childrens Classics, Classics, Childrens, Middle Grade, Humor, Childrens, Chapter Books;http://images.amazon.com/images/P/0060248122.01.LZZZZZZZ.jpg;;;;;;9.0
0060254920;Where the Wild Things Are;Maurice Sendak;1988-01-01;HarperCollins;Childrens;Childrens, Picture Books, Fiction, Classics, Fantasy, Adventure, Young Adult, Animals, Kids, Folklore, Monsters;http://images.amazon.com/images/P/0060254920.01.LZZZZZZZ.jpg;;9.5;9.25;;10.0;
0060256575;The Missing Piece Meets the Big O;Shel Silverstein;1981-01-01;HarperCollins;Childrens;Poetry, Childrens, Picture Books, Fiction, Classics, Inspirational, Sequential Art, Comics, Humor, Young Adult, Philosophy;http://images.amazon.com/images/P/0060256575.01.LZZZZZZZ.jpg;;9.0;10.0;;;
0060256710;The Missing Piece (Ursula Nordstrom Book);Shel Silverstein;1976-01-01;HarperCollins;Poetry;Childrens, Childrens, Picture Books, Fiction, Classics, Young Adult, Humor, Childrens, Juvenile, Inspirational, Childrens, Middle Grade;http://images.amazon.com/images/P/0060256710.01.LZZZZZZZ.jpg;10.0;;;;10.0;
0060504080;Small Wonder : Essays;Barbara Kingsolver;2003-01-01;Perennial;Nonfiction;Writing, Essays, Environment, Nature, Environment, Autobiography, Memoir, Short Stories, Science, Philosophy, Audiobook, Adult;http://images.amazon.com/images/P/0060504080.01.LZZZZZZZ.jpg;;9.5;7.666666666666667;;;
0060506989;We Were Soldiers Once... and Young: Ia Drang--The Battle That Changed the War in Vietnam;Harold G. Moore;2002-01-01;HarperTorch;History;Nonfiction, War, Military Fiction, War, Military, Military History, North American Hi..., American History, Biography, Historical, Autobiography, Memoir, Leadership;http://images.amazon.com/images/P/0060506989.01.LZZZZZZZ.jpg;;7.0;;;;
0060507403;The Cheese Monkeys : A Novel in Two Semesters;Chip Kidd;2002-01-01;Perennial;Fiction;Design, Humor, Art, Novels, Young Adult, Coming Of Age, Art, Art Design, Contemporary, Literary Fiction, Adult;http://images.amazon.com/images/P/0060507403.01.LZZZZZZZ.jpg;5.0;8.153846153846153;9.0;;7.0;
0060507772;The Last Hero : A Discworld Fable;Terry Pratchett;2002-01-01;Eos;Fantasy;Fiction, Humor, Humor, Comedy, Sequential Art, Graphic Novels, Science Fiction Fantasy, Fantasy, Magic, Audiobook, Adventure, Sequential Art, Comics;http://images.amazon.com/images/P/0060507772.01.LZZZZZZZ.jpg;;7.5;7.666666666666667;;10.0;9.0
0060509058;Travels;Michael Crichton;2002-01-01;Perennial;Nonfiction;Travel, Biography, Autobiography, Memoir, Biography, Autobiography, Biography Memoir, Adventure, Travel, Travelogue, History, Thriller;http://images.amazon.com/images/P/0060509058.01.LZZZZZZZ.jpg;;;;;7.0;
0060510854;Caesar;Colleen McCullough;2003-01-01;Avon Books;Historical;Historical Fiction, Fiction, Historical, Roman, History, Ancient History, Cultural, Italy, War, Literature, Novels, Politics;http://images.amazon.com/images/P/0060510854.01.LZZZZZZZ.jpg;;8.0;8.0;;;
0060510862;The Forever War;Joe Haldeman;2003-01-01;Eos;Science Fiction;Fiction, War, Science Fiction Fantasy, War, Military Fiction, Space, Space Opera, Classics, Science Fiction, Time Travel, Space, Speculative Fiction;http://images.amazon.com/images/P/0060510862.01.LZZZZZZZ.jpg;;;6.0;;;
0060512180;The Beauty Myth : How Images of Beauty Are Used Against Women;Naomi Wolf;2002-01-01;Perennial;Feminism;Nonfiction, Sociology, Womens, Psychology, Gender, Gender, Gender Studies, Politics, Philosophy, Self Help;http://images.amazon.com/images/P/0060512180.01.LZZZZZZZ.jpg;;9.0;;;;
0060512806;Cryptonomicon;Neal Stephenson;2002-01-01;Avon Books;Fiction;Science Fiction, Historical, Historical Fiction, Science Fiction, Cyberpunk, Thriller, Historical, War, Science Fiction Fantasy, Fantasy, Novels;http://images.amazon.com/images/P/0060512806.01.LZZZZZZZ.jpg;;9.0;7.0;;8.0;7.5
0060516054;What Went Wrong? : The Clash Between Islam and Modernity in the Middle East;Bernard Lewis;2003-01-01;Perennial;History;Nonfiction, Religion, Islam, Politics, Religion, Sociology, History, World History, Historical, Cultural, Earth, The World;http://images.amazon.com/images/P/0060516054.01.LZZZZZZZ.jpg;;5.0;9.0;;;6.0
0060517611;The Lady in Question;Victoria Alexander;2003-01-01;Avon;Romance;Historical Romance, Romance, Historical, Historical, Regency, Historical, Historical Fiction, Historical Romance, Regency Romance, Fiction, European Literature, British Literature, Adult, Audiobook;http://images.amazon.com/images/P/0060517611.01.LZZZZZZZ.jpg;;7.111111111111111;7.0;;;10.0
0060518510;The Hand of Dinotopia (Dinotopia);Alan Dean Foster;2002-01-01;Avon Books;Fantasy;Fiction, Animals, Dinosaurs, Adventure, Science Fiction, Young Adult, Childrens, Science Fiction Fantasy, Young Adult, Young Adult Fantasy, Science Fiction, Alternate History;http://images.amazon.com/images/P/0060518510.01.LZZZZZZZ.jpg;;;7.0;;;
0060519134;Savannah Blues;Mary Kay Andrews;2003-01-01;Perennial;Womens Fiction;Chick Lit, Mystery, Fiction, Romance, American, Southern, Humor, Contemporary, Audiobook, Mystery, Cozy Mystery, Adult;http://images.amazon.com/images/P/0060519134.01.LZZZZZZZ.jpg;;7.0;8.0;;;7.0
0060521228;The Whipping Boy;Sid Fleischman;2003-01-01;HarperTrophy;Historical;Historical Fiction, Fiction, Childrens, Young Adult, Childrens, Middle Grade, Classics, Adventure, Historical, Childrens, Juvenile, Fantasy;http://images.amazon.com/images/P/0060521228.01.LZZZZZZZ.jpg;;;9.0;;;10.0
0060524944;Murder Unleashed;Lee Charles Kelley;2003-01-01;Avon;Mystery;Cozy Mystery, Animals, Dogs, Mystery, Fiction;http://images.amazon.com/images/P/0060524944.01.LZZZZZZZ.jpg;;7.0;;;;
006052510X;Happiness : A Novel;Will Ferguson;2003-01-01;Perennial;Fiction;Cultural, Canada, Humor, Novels, Contemporary, Literature, Humor, Comedy, Adult, Adult Fiction, Self Help;http://images.amazon.com/images/P/006052510X.01.LZZZZZZZ.jpg;9.0;7.0;7.0;;;
0060530839;The Lion, the Witch and the Wardrobe Color Gift Edition (Narnia);C. S. Lewis;2003-01-01;HarperCollins;Fantasy;Classics, Fiction, Young Adult, Childrens, Childrens, Middle Grade, Adventure, Christian, Fantasy, Magic, Christian Fiction;http://images.amazon.com/images/P/0060530839.01.LZZZZZZZ.jpg;;;;;;10.0
0060534044;Kisscut;Karin Slaughter;2003-01-01;HarperTorch;Mystery;Thriller, Mystery, Crime, Fiction, Thriller, Mystery Thriller, Suspense, Audiobook, Adult, Mystery, Detective, Contemporary;http://images.amazon.com/images/P/0060534044.01.LZZZZZZZ.jpg;;;6.833333333333333;;;7.5
0060534052;A Faint Cold Fear: A Novel;Karin Slaughter;2004-01-01;HarperTorch;Mystery;Thriller, Mystery, Crime, Fiction, Suspense, Thriller, Mystery Thriller, Audiobook, Adult, Mystery, Detective, Contemporary;http://images.amazon.com/images/P/0060534052.01.LZZZZZZZ.jpg;;;;;;9.0
0060535032;City of the Beasts;Isabel Allende;2004-01-01;Rayo;Fantasy;Young Adult, Fiction, Adventure, Magical Realism, European Literature, Spanish Literature, Novels, Childrens, Romance, Mystery;http://images.amazon.com/images/P/0060535032.01.LZZZZZZZ.jpg;5.0;9.0;;;;
006054094X;1421 : The Year China Discovered America;Gavin Menzies;2004-01-01;Perennial;History;Nonfiction, Cultural, China, Cultural, Asia, Historical, History, World History, Travel, North American Hi..., American History, Science, Leadership;http://images.amazon.com/images/P/006054094X.01.LZZZZZZZ.jpg;;;;;;7.0
0060541814;The Andromeda Strain;Michael Crichton;2003-01-01;Avon Books;Science Fiction;Fiction, Thriller, Science Fiction Fantasy, Mystery, Horror, Suspense, Novels, Classics, Audiobook;http://images.amazon.com/images/P/0060541814.01.LZZZZZZZ.jpg;;;;;;8.5
0060541830;Congo;Michael Crichton;2003-01-01;Avon Books;Fiction;Science Fiction, Thriller, Adventure, Horror, Mystery, Suspense, Cultural, Africa, Novels, Thriller, Mystery Thriller;http://images.amazon.com/images/P/0060541830.01.LZZZZZZZ.jpg;;8.0;;;;
006054564X;My Invented Country : A Nostalgic Journey Through Chile;Isabel Allende;2003-01-01;HarperCollins;Nonfiction;Autobiography, Memoir, Biography, Travel, History, European Literature, Spanish Literature, Biography Memoir, Biography, Autobiography, Cultural, Latin American, Historical;http://images.amazon.com/images/P/006054564X.01.LZZZZZZZ.jpg;;;;;8.0;
0060548282;The Wicked Day : Book Four of the Arthurian Saga (The Arthurian Saga, Book 4);Mary Stewart;2003-01-01;Eos (Trade);Fantasy;Fiction, Historical, Historical Fiction, Mythology, Arthurian, Historical, Fantasy, Mythology, Science Fiction Fantasy, Historical Fiction, Historical Fantasy, Historical, Medieval, European Literature, British Literature;http://images.amazon.com/images/P/0060548282.01.LZZZZZZZ.jpg;;;10.0;;;
0060557818;Neverwhere : A Novel;Neil Gaiman;2003-01-01;Perennial;Fantasy;Fiction, Fantasy, Urban Fantasy, Audiobook, Science Fiction Fantasy, Science Fiction, Horror, Adventure, Adult, Young Adult;http://images.amazon.com/images/P/0060557818.01.LZZZZZZZ.jpg;;7.666666666666667;7.5;;10.0;
006056668X;Fluke : Or, I Know Why the Winged Whale Sings;Christopher Moore;2004-01-01;Perennial;Fiction;Humor, Fantasy, Humor, Comedy, Science Fiction, Adult, Audiobook, Adult Fiction, Fantasy, Urban Fantasy, Contemporary;http://images.amazon.com/images/P/006056668X.01.LZZZZZZZ.jpg;;7.0;10.0;;;
0060567236;Lord of Light;Roger Zelazny;2004-01-01;Eos;Science Fiction;Fantasy, Fiction, Science Fiction Fantasy, Fantasy, Mythology, Classics, Hugo Awards, Religion, Speculative Fiction, Novels;http://images.amazon.com/images/P/0060567236.01.LZZZZZZZ.jpg;;;;;;10.0
0060572345;Where the Sidewalk Ends 30th Anniversary Special Edition : Poems and Drawings;Shel Silverstein;2004-01-01;HarperCollins;Poetry;Childrens, Classics, Fiction, Humor, Young Adult, Childrens, Picture Books, Childrens, Middle Grade, Childrens, Juvenile, Fantasy;http://images.amazon.com/images/P/0060572345.01.LZZZZZZZ.jpg;;;10.0;;;
0060572965;Dead Witch Walking;Kim Harrison;2004-01-01;HarperTorch;Fantasy;Urban Fantasy, Fantasy, Fantasy, Paranormal, Paranormal, Vampires, Paranormal, Witches, Fantasy, Magic, Fiction, Fantasy, Supernatural, Romance, Paranormal Romance, Romance;http://images.amazon.com/images/P/0060572965.01.LZZZZZZZ.jpg;;9.5;;;8.5;9.5
0060574216;Men Are from Mars, Women Are from Venus : The Classic Guide to Understanding the Opposite Sex;John Gray;2004-01-01;Perennial Currents;Nonfiction;Self Help, Psychology, Relationships, Self Help, Personal Development, Marriage, Philosophy, Romance, Unfinished, Audiobook;http://images.amazon.com/images/P/0060574216.01.LZZZZZZZ.jpg;;;7.0;;;
0060575816;Sabriel (adult edition) (The Abhorsen Trilogy);Garth Nix;2004-01-01;Eos;Fantasy;Young Adult, Fiction, Fantasy, Magic, Young Adult, Young Adult Fantasy, Fantasy, High Fantasy, Adventure, Audiobook, Science Fiction Fantasy, Young Adult, Teen;http://images.amazon.com/images/P/0060575816.01.LZZZZZZZ.jpg;8.0;10.0;;;;
0060584750;Mystic River;Dennis Lehane;2003-01-01;Perennial Dark Alley;Mystery;Fiction, Thriller, Mystery, Crime, Thriller, Mystery Thriller, Suspense, Drama, Audiobook, Novels, Mystery, Detective;http://images.amazon.com/images/P/0060584750.01.LZZZZZZZ.jpg;;;9.0;;9.0;
0060586370;The Way the Crow Flies : A Novel;Ann-Marie MacDonald;2004-01-01;Perennial;Fiction;Historical, Historical Fiction, Cultural, Canada, Mystery, Historical, Literary Fiction, Contemporary, Adult Fiction, Literature, Canadian Literature, Book Club;http://images.amazon.com/images/P/0060586370.01.LZZZZZZZ.jpg;;8.0;;;;
0060595183;The Doors of Perception and Heaven and Hell (Perennial Classics);Aldous Huxley;2004-01-01;Perennial Classics;Philosophy;Nonfiction, Psychology, Classics, Writing, Essays, Spirituality, Science, Religion, Literature, European Literature, British Literature;http://images.amazon.com/images/P/0060595183.01.LZZZZZZZ.jpg;;6.0;;;6.0;
0060595361;Since You're Leaving Anyway, Take Out the Trash;Dixie Cash;2004-01-01;Avon;Mystery;Romance, Womens Fiction, Chick Lit, Humor, Fiction, Contemporary, Mystery, Cozy Mystery, Romance, Contemporary Romance, American, Southern, Adult;http://images.amazon.com/images/P/0060595361.01.LZZZZZZZ.jpg;;;;;;10.0
0060598891;The Rocky Road to Romance;Janet Evanovich;2004-01-01;HarperTorch;Romance;Womens Fiction, Chick Lit, Fiction, Romance, Contemporary Romance, Contemporary, Humor, Mystery, Audiobook, Humor, Comedy, Adult;http://images.amazon.com/images/P/0060598891.01.LZZZZZZZ.jpg;;;;;;8.0
0060609176;Meeting Jesus Again for the First Time : The Historical Jesus and the Heart of Contemporary Faith;Marcus J. Borg;1995-01-01;HarperSanFrancisco;Religion;Nonfiction, Spirituality, Religion, Theology, Religion, Christianity, Christian, Religion, Faith, History, Philosophy, Academic, College;http://images.amazon.com/images/P/0060609176.01.LZZZZZZZ.jpg;;10.0;;;;8.0
0060652896;The Screwtape Letters (Gift Edition);C. S. Lewis;2001-01-01;Harper SanFrancisco;Fiction;Classics, Christian, Religion, Religion, Christianity, Fantasy, Religion, Theology, Christian Fiction, Religion, Faith, Philosophy;http://images.amazon.com/images/P/0060652896.01.LZZZZZZZ.jpg;;8.0;;;;
0060652926;Mere Christianity;C. S. Lewis;2001-01-01;Harper SanFrancisco;Christian;Nonfiction, Religion, Religion, Theology, Religion, Christianity, Classics, Philosophy, Religion, Faith, Spirituality, Christian, Christian Living;http://images.amazon.com/images/P/0060652926.01.LZZZZZZZ.jpg;;1.0;10.0;;;9.5
0060727535;Cash : The Autobiography;Johnny Cash;2003-01-01;Harper SanFrancisco;Music;Biography, Nonfiction, Autobiography, Memoir, Biography, Autobiography, Biography Memoir, History, Culture, Pop Culture, Music, Musicians, Biography, Music Biography;http://images.amazon.com/images/P/0060727535.01.LZZZZZZZ.jpg;;8.5;;;;
0060730552;Touching the Void: The True Story of One Man's Miraculous Survival;Joe Simpson;2004-01-01;Perennial Currents;Nonfiction;Adventure, Biography, Sports, Mountaineering, Travel, Autobiography, Memoir, Adventure, Survival, Mountaineering, Climbing, Nature, Outdoors, Sports, Sports;http://images.amazon.com/images/P/0060730552.01.LZZZZZZZ.jpg;;10.0;;;;
0060735414;Bloodsucking Fiends;Christopher Moore;2004-01-01;Perennial;Humor;Fiction, Fantasy, Paranormal, Vampires, Fantasy, Paranormal, Fantasy, Urban Fantasy, Humor, Comedy, Horror, Romance, Fantasy, Supernatural;http://images.amazon.com/images/P/0060735414.01.LZZZZZZZ.jpg;;10.0;9.0;;;
0060735457;The Lust Lizard of Melancholy Cove;Christopher Moore;2004-01-01;Perennial;Humor;Fiction, Fantasy, Humor, Comedy, Fantasy, Urban Fantasy, Audiobook, Fantasy, Paranormal, Adult, Contemporary, Adult Fiction;http://images.amazon.com/images/P/0060735457.01.LZZZZZZZ.jpg;;;9.0;;;
0060739428;Catherine Called Birdy;Karen Cushman;2004-01-01;HarperTrophy;Historical;Historical Fiction, Young Adult, Fiction, Historical, Childrens, Middle Grade, Childrens, Historical, Medieval, Humor, Childrens, Juvenile, European Literature, British Literature;http://images.amazon.com/images/P/0060739428.01.LZZZZZZZ.jpg;;8.0;;;;
